,player_id,name,round,round_order,wins,loss,total_matches,min_year,max_year,years_exp,percent_wins
0,101381,Aaron Krickstein,F,1,9,11,20,1983,1993,11,0.45
1,101381,Aaron Krickstein,SF,2,19,16,35,1983,1995,13,0.5428571428571428
2,101381,Aaron Krickstein,QF,3,35,40,75,1983,1995,13,0.4666666666666667
3,101381,Aaron Krickstein,R16,4,75,68,143,1983,1995,13,0.5244755244755245
4,101381,Aaron Krickstein,R32,5,136,71,207,1983,1996,14,0.6570048309178744
5,101381,Aaron Krickstein,R64,6,70,39,109,1983,1995,13,0.6422018348623854
6,101381,Aaron Krickstein,R128,7,36,6,42,1983,1996,14,0.8571428571428571
7,101381,Aaron Krickstein,RR,99,13,7,20,1985,1991,7,0.65
8,108961,Abd Hazli Bin Zainuddin,RR,99,1,3,4,2006,2010,5,0.25
9,106440,Abdel Aslam Mahmoudi,RR,99,1,3,4,1976,1977,2,0.25
10,110935,Abdel Gawad Mohammed,RR,99,2,1,3,1976,1978,3,0.6666666666666666
11,125589,Abdel Ghani Mohammed,RR,99,2,6,8,1970,1977,8,0.25
12,110895,Abdel Majid Soudani,RR,99,2,4,6,1983,1987,5,0.3333333333333333
13,102033,Abdelhak Hameurlaine,RR,99,3,11,14,1991,2009,19,0.21428571428571427
14,106442,Abdul Khalek Nadini,RR,99,1,6,7,1984,1989,6,0.14285714285714285
15,110856,Abdul Rahman Shehab,RR,99,1,3,4,1989,1989,1,0.25
16,104895,Abdullah Maqdas,RR,99,11,8,19,2004,2017,14,0.5789473684210527
17,100007,Abe Segal,R128,7,2,3,5,1968,1970,3,0.4
18,108875,Abou Berthe,RR,99,1,17,18,1987,1994,8,0.05555555555555555
19,104775,Adam Kellner,RR,99,6,7,13,2005,2012,8,0.46153846153846156
20,101349,Adam Malik,R32,5,1,2,3,1993,1995,3,0.3333333333333333
21,101349,Adam Malik,RR,99,11,8,19,1983,1995,13,0.5789473684210527
22,106361,Adam Pavlasek,R32,5,1,3,4,2016,2017,2,0.25
23,106361,Adam Pavlasek,R128,7,2,2,4,2016,2017,2,0.5
24,102327,Adam Skrzypczak,RR,99,3,2,5,1996,1996,1,0.6
25,104040,Adam Thompson,RR,99,3,2,5,2005,2009,5,0.6
26,108597,Adelo Abadia,RR,99,2,5,7,1998,2004,7,0.2857142857142857
27,105177,Aditya Hari Sasongko,RR,99,3,7,10,2008,2017,10,0.3
28,106447,Adolfo Gonzalez,R16,4,1,1,2,1977,1981,5,0.5
29,106447,Adolfo Gonzalez,R32,5,1,1,2,1981,1983,3,0.5
30,104149,Adrian Cruciat,R32,5,1,1,2,2008,2008,1,0.5
31,103201,Adrian Garcia,R16,4,1,7,8,2000,2005,6,0.125
32,103201,Adrian Garcia,R32,5,8,13,21,2000,2008,9,0.38095238095238093
33,103201,Adrian Garcia,RR,99,4,3,7,2000,2006,7,0.5714285714285714
34,101203,Adrian Graimprey,RR,99,3,5,8,1994,1998,5,0.375
35,105173,Adrian Mannarino,SF,2,4,6,10,2008,2018,11,0.4
36,105173,Adrian Mannarino,QF,3,10,17,27,2008,2018,11,0.37037037037037035
37,105173,Adrian Mannarino,R16,4,27,38,65,2008,2018,11,0.4153846153846154
38,105173,Adrian Mannarino,R32,5,57,54,111,2008,2018,11,0.5135135135135135
39,105173,Adrian Mannarino,R64,6,24,39,63,2008,2018,11,0.38095238095238093
40,105173,Adrian Mannarino,R128,7,23,18,41,2008,2018,11,0.5609756097560976
41,105173,Adrian Mannarino,RR,99,1,1,2,2018,2018,1,0.5
42,100792,Adrian Marcu,RR,99,11,11,22,1984,1992,9,0.5
43,104629,Adrian Menendez Maceiras,R16,4,1,2,3,2015,2018,4,0.3333333333333333
44,104629,Adrian Menendez Maceiras,R32,5,3,6,9,2013,2018,6,0.3333333333333333
45,104629,Adrian Menendez Maceiras,R128,7,1,3,4,2012,2017,6,0.25
46,104494,Adrian Ungur,R32,5,5,13,18,2010,2016,7,0.2777777777777778
47,104494,Adrian Ungur,R128,7,1,6,7,2012,2016,5,0.14285714285714285
48,104494,Adrian Ungur,RR,99,15,15,30,2010,2018,9,0.5
49,102437,Adrian Voinea,F,1,1,1,2,1996,1999,4,0.5
50,102437,Adrian Voinea,SF,2,2,5,7,1996,2002,7,0.2857142857142857
51,102437,Adrian Voinea,QF,3,7,13,20,1994,2002,9,0.35
52,102437,Adrian Voinea,R16,4,20,36,56,1994,2003,10,0.35714285714285715
53,102437,Adrian Voinea,R32,5,56,68,124,1994,2003,10,0.45161290322580644
54,102437,Adrian Voinea,R64,6,24,30,54,1995,2003,9,0.4444444444444444
55,102437,Adrian Voinea,R128,7,16,15,31,1994,2003,10,0.5161290322580645
56,102437,Adrian Voinea,RR,99,10,8,18,1995,2003,9,0.5555555555555556
57,100214,Adriano Panatta,F,1,10,17,27,1972,1980,9,0.37037037037037035
58,100214,Adriano Panatta,SF,2,27,15,42,1972,1980,9,0.6428571428571429
59,100214,Adriano Panatta,QF,3,38,41,79,1971,1983,13,0.4810126582278481
60,100214,Adriano Panatta,R16,4,78,42,120,1970,1983,14,0.65
61,100214,Adriano Panatta,R32,5,106,61,167,1968,1983,16,0.6347305389221557
62,100214,Adriano Panatta,R64,6,61,27,88,1968,1983,16,0.6931818181818182
63,100214,Adriano Panatta,R128,7,26,5,31,1968,1982,15,0.8387096774193549
64,100214,Adriano Panatta,RR,99,46,31,77,1970,1983,14,0.5974025974025974
65,103882,Adrians Zguns,RR,99,1,2,3,2004,2009,6,0.3333333333333333
66,102860,Agustin Calleri,F,1,3,6,9,2002,2007,6,0.3333333333333333
67,102860,Agustin Calleri,SF,2,8,16,24,2000,2008,9,0.3333333333333333
68,102860,Agustin Calleri,QF,3,24,23,47,1999,2008,10,0.5106382978723404
69,102860,Agustin Calleri,R16,4,47,24,71,1999,2009,11,0.6619718309859155
70,102860,Agustin Calleri,R32,5,71,60,131,1999,2009,11,0.5419847328244275
71,102860,Agustin Calleri,R64,6,28,32,60,1999,2009,11,0.4666666666666667
72,102860,Agustin Calleri,R128,7,21,22,43,1999,2009,11,0.4883720930232558
73,102860,Agustin Calleri,RR,99,8,6,14,2000,2008,9,0.5714285714285714
74,101339,Agustin Moreno,R32,5,3,6,9,1988,1995,8,0.3333333333333333
75,101339,Agustin Moreno,R64,6,3,5,8,1987,1993,7,0.375
76,101339,Agustin Moreno,RR,99,1,1,2,1987,1989,3,0.5
77,108925,Ahmad Rabeea Muhammad,RR,99,4,10,14,2004,2009,6,0.2857142857142857
78,111053,Ahmed Ben Omar,RR,99,2,6,8,1972,1974,3,0.25
79,100796,Ahmed El Mehelmy,RR,99,15,13,28,1978,1989,12,0.5357142857142857
80,103529,Aisam Ul Haq Qureshi,R16,4,2,2,4,2002,2008,7,0.5
81,103529,Aisam Ul Haq Qureshi,R32,5,4,5,9,2002,2008,7,0.4444444444444444
82,103529,Aisam Ul Haq Qureshi,R128,7,1,1,2,2007,2008,2,0.5
83,103529,Aisam Ul Haq Qureshi,RR,99,33,22,55,1998,2018,21,0.6
84,103974,Aivaras Balzekas,RR,99,1,3,4,2000,2000,1,0.25
85,102000,Aki Rahunen,QF,3,1,4,5,1990,1991,2,0.2
86,102000,Aki Rahunen,R16,4,5,6,11,1990,1991,2,0.45454545454545453
87,102000,Aki Rahunen,R32,5,11,19,30,1990,1991,2,0.36666666666666664
88,102000,Aki Rahunen,R64,6,7,6,13,1990,1992,3,0.5384615384615384
89,102000,Aki Rahunen,R128,7,3,6,9,1990,1992,3,0.3333333333333333
90,102000,Aki Rahunen,RR,99,3,1,4,1991,1992,2,0.75
91,106452,Akifumi Machidori,R64,6,1,1,2,1974,1978,5,0.5
92,106453,Akinori Naguro,R64,6,1,3,4,1974,1981,8,0.25
93,117361,Akira Santillan,R32,5,2,5,7,2016,2017,2,0.2857142857142857
94,101550,Al Parker,R64,6,1,5,6,1987,1989,3,0.16666666666666666
95,101121,Alaaddin Karagoz,RR,99,4,9,13,1984,1991,8,0.3076923076923077
96,106458,Alain Brichant,RR,99,1,4,5,1981,1986,6,0.2
97,109777,Alan Fox,R32,5,1,2,3,1970,1970,1,0.3333333333333333
98,109777,Alan Fox,R64,6,2,8,10,1968,1971,4,0.2
99,103820,Alan Mackin,RR,99,1,3,4,2003,2006,4,0.25
100,105874,Albano Olivetti,R16,4,2,1,3,2012,2014,3,0.6666666666666666
101,105874,Albano Olivetti,R32,5,3,3,6,2012,2014,3,0.5
102,101865,Albert Chang,R16,4,2,1,3,1994,1995,2,0.6666666666666666
103,101865,Albert Chang,R32,5,3,8,11,1993,1997,5,0.2727272727272727
104,101865,Albert Chang,R64,6,1,3,4,1994,1995,2,0.25
