,player_id,player_name,total_matches,min_year,max_year
0,100001,Gardnar Mulloy,2,1968,1977
1,100002,Pancho Segura,13,1968,1974
2,100003,Frank Sedgman,32,1968,1976
3,100004,Giuseppe Merlo,14,1968,1973
4,100005,Richard Pancho Gonzales,116,1968,1976
5,100006,Grant Golden,1,1978,1978
6,100007,Abe Segal,8,1968,1971
7,100009,Istvan Gulyas,98,1968,1973
8,100010,Luis Ayala,24,1968,1982
9,100011,Torben Ulrich,133,1968,1977
10,100012,Nicola Pietrangeli,75,1968,1973
11,100013,Neale Fraser,23,1968,1980
12,100014,Trevor Fancutt,1,1969,1969
13,100015,Sammy Giammalva,2,1968,1971
14,100016,Ken Rosewall,588,1968,1980
15,100017,Mal Anderson,91,1968,1981
16,100018,Barry Mackay,25,1968,1974
17,100019,Wieslaw Gasiorek,48,1968,1972
18,100020,Alejandro Olmedo,77,1968,1977
19,100021,Ashley Cooper,3,1968,1973
20,100022,Roy Emerson,291,1968,1983
21,100023,Ramanathan Krishnan,18,1968,1975
22,100024,Jan Eric Lundquist,27,1968,1975
23,100025,Barry Phillips Moore,378,1968,1980
24,100026,Andres Gimeno,258,1968,1974
25,100027,Gene Scott,46,1968,1975
26,100028,Manuel Santana,105,1968,1978
27,100029,Rod Laver,512,1968,1979
28,100030,Fred Stolle,217,1968,1982
29,100031,Dimitri Sturdza,39,1968,1977
30,100032,Patricio Rodriguez CHI,55,1968,1978
31,100033,Wilhelm Bungert,81,1968,1973
32,100034,Christian Kuhnke,62,1969,1974
33,100035,Ion Tiriac,360,1968,1979
34,100036,Rudy Hernando,8,1968,1973
35,100037,Nikola Pilic,392,1968,1978
36,100038,Jaime Pinto Bravo,186,1968,1983
37,100039,Boro Jovanovic,121,1968,1975
38,100040,Bob Hewitt,339,1968,1980
39,100041,Ned Neely,2,1970,1970
40,100042,Ryoichi Mori,1,1974,1974
41,100044,Sergei Likhachev,19,1968,1973
42,100045,John Paish,84,1968,1980
43,100046,Larry Nagler,4,1968,1975
44,100047,Bob Carmichael,384,1968,1979
45,100048,Earl Butch Buchholz,58,1968,1978
46,100049,Jim Mcmanus,230,1968,1978
47,100050,Martin Mulligan,119,1968,1975
48,100051,Premjit Lall,83,1968,1975
49,100052,Keishiro Yanagi,16,1968,1974
50,100053,Colin Stubs,21,1968,1974
51,100054,Jose Mandarino,92,1968,1977
52,100055,Cliff Drysdale,498,1968,1980
53,100056,Harald Elschenbroich,164,1968,1979
54,100057,Pierre Barthes,265,1968,1977
55,100058,Roger Taylor,486,1968,1980
56,100059,Isao Watanabe,9,1968,1974
57,100060,Marty Riessen,626,1968,1981
58,100061,Tom Edlefsen,151,1968,1975
59,100062,Francois Jauffret,327,1968,1980
60,100063,William Higgins,41,1969,1974
61,100064,Juan Gisbert,335,1968,1976
62,100065,Terry Ryan,88,1968,1977
63,100066,Frank Froehling,172,1970,1975
64,100067,Frew Mcmillan,373,1968,1981
65,100068,Herb Fitzgibbon,43,1968,1973
66,100069,Dennis Ralston,161,1968,1980
