,player_id,player_name,round,year,wins,loss,total,perc_wins
0,100001,Gardnar Mulloy,R32,1977,0,1,1,0.0
1,100001,Gardnar Mulloy,R64,1968,0,1,1,0.0
2,100002,Pancho Segura,R32,1974,0,1,1,0.0
3,100002,Pancho Segura,R64,1970,0,2,2,0.0
4,100002,Pancho Segura,R128,1970,1,0,1,1.0
5,100002,Pancho Segura,R32,1969,0,3,3,0.0
6,100002,Pancho Segura,R64,1969,2,0,2,1.0
7,100002,Pancho Segura,R32,1968,0,2,2,0.0
8,100002,Pancho Segura,R64,1968,2,0,2,1.0
9,100003,Frank Sedgman,R32,1976,0,1,1,0.0
10,100003,Frank Sedgman,R32,1975,0,1,1,0.0
11,100003,Frank Sedgman,R64,1975,1,0,1,1.0
12,100003,Frank Sedgman,R32,1974,0,1,1,0.0
13,100003,Frank Sedgman,R64,1973,0,1,1,0.0
14,100003,Frank Sedgman,R128,1973,0,1,1,0.0
15,100003,Frank Sedgman,R64,1972,0,1,1,0.0
16,100003,Frank Sedgman,QF,1971,0,1,1,0.0
17,100003,Frank Sedgman,R16,1971,1,3,4,0.25
18,100003,Frank Sedgman,R32,1971,4,4,8,0.5
19,100003,Frank Sedgman,R64,1971,4,3,7,0.5714285714285714
20,100003,Frank Sedgman,R128,1971,1,1,2,0.5
21,100003,Frank Sedgman,R32,1970,0,1,1,0.0
22,100003,Frank Sedgman,R64,1970,1,0,1,1.0
23,100003,Frank Sedgman,QF,1968,0,1,1,0.0
24,100004,Giuseppe Merlo,R64,1973,0,1,1,0.0
25,100004,Giuseppe Merlo,R128,1973,1,0,1,1.0
26,100004,Giuseppe Merlo,R32,1972,0,1,1,0.0
27,100004,Giuseppe Merlo,R64,1972,1,0,1,1.0
28,100004,Giuseppe Merlo,R32,1970,0,1,1,0.0
29,100004,Giuseppe Merlo,R64,1969,0,1,1,0.0
30,100004,Giuseppe Merlo,R128,1969,1,1,2,0.5
31,100004,Giuseppe Merlo,R32,1968,0,1,1,0.0
32,100004,Giuseppe Merlo,R64,1968,0,2,2,0.0
33,100004,Giuseppe Merlo,R128,1968,1,2,3,0.3333333333333333
